#Site-label   Center(X)   Center(Y)   Center(Z)  Site-Type   N-Neighbors   Occupancy  Site-Amplitud
    415      18.046512   19.693023   22.930233       0           4        0.405418     0.612931   
    416      18.048780   19.643902    9.878049       0           4        0.448438     0.571398   
    417      18.868132   18.083516    9.142857       1           2        0.926655     1.126086   
    418      18.860000   21.288889   10.702222       1           2        0.959532     1.119799   
    419      18.846667   21.266667   23.704444       1           2        0.905420     1.114240   
    420      18.824096   24.597590   17.209639       1           2        0.882535     0.995752   
    421      18.872727    1.811364    2.615909       1           2        0.954535     1.014548   
    422      18.874419    1.802326   15.651163       1           2        0.918810     0.995232   
    423      18.877500    5.092500    9.160000       1           2        0.966677     0.886658   
    424      18.857500    5.127500   22.170000       1           2        0.944992     1.011663   
    425      18.898901    8.305495   10.740659       1           2        0.915163     1.123492   
    426      18.859770    8.225287   23.685057       1           2        0.968875     0.995599   
    427      18.893333   11.531111    4.224444       1           2        0.948440     1.136783   
    428      18.876404   11.537079   17.231461       1           2        0.948140     1.142833   
    429      18.873810   14.854762    2.616667       1           2        0.883735     1.049789   
    430      18.903448   14.866667   15.604598       1           2        0.890280     1.150909   
    431      18.859341   18.054945   22.147253       1           2        0.949289     1.080742   
    432      18.862222   24.535556    4.231111       1           2        0.920409     1.145859   
    433      19.652830    3.411321    8.252830       0           4        0.429701     0.731278   
    434      19.688889    3.429630   14.796296       0           4        0.436396     0.643987   
    435      19.665455    3.425455   21.265455       0           4        0.641253     0.684197   
    436      19.635556    3.466667    1.804444       0           4        0.295794     0.585335   
    437      19.703571    9.925000   11.578571       0           4        0.609176     0.633322   
    438      19.713725    9.933333   24.592157       0           4        0.524285     0.625118   
    439      19.668182   16.409091    1.804545       0           4        0.357951     0.569870   
    440      19.645833   16.391667   14.783333       0           4        0.413112     0.631755   
    441      19.692308   16.446154   21.288462       0           4        0.490059     0.670258   
    442      19.725000   16.479167    8.312500       0           4        0.496254     0.620120   
    443      19.697872   22.923404    5.038298       0           4        0.406167     0.615317   
    444      19.693617   22.897872   11.608511       0           4        0.431549     0.617916   
    445      19.636000   22.916000   18.028000       0           4        0.491058     0.587483   
    446      19.662745   22.921569   24.572549       0           4        0.537476     0.610255   
    447      19.697561    9.931707    5.019512       0           4        0.289199     0.584288   
    448      19.743478    9.934783   18.034783       0           4        0.299791     0.594143   
    449      20.418391   18.011494    2.613793       1           2        0.965478     1.002396   
    450      20.449462   21.311828    4.204301       1           2        0.949489     1.071188   
    451      20.474725    1.760440   22.149451       1           2        0.958083     1.040304   
    452      20.479121    1.800000    9.138462       1           2        0.959632     1.003917   
    453      20.430952    5.007143    2.607143       1           2        0.954885     1.001481   
    454      20.448837    5.002326   15.634884       1           2        0.897675     1.017008   
    455      20.452747    8.362637    4.250549       1           2        0.948490     1.118146   
    456      20.465909    8.320455   17.222727       1           2        0.927804     1.087243   
    457      20.480851   11.585106   10.723404       1           2        0.905120     1.184954   
    458      20.457143   11.545238   23.735714       1           2        0.947540     0.989909   
    459      20.482222   14.757778    9.157778       1           2        0.959682     1.115394   
    460      20.462222   14.786667   22.148889       1           2        0.934649     1.015653   
    461      20.428235   18.016471   15.625882       1           2        0.971024     1.015571   
    462      20.462791   21.274419   17.204651       1           2        0.903971     1.107780   
    463      20.469048   24.578571   10.721429       1           2        0.961480     1.029549   
    464      20.469880   24.571084   23.725301       1           2        0.962780     0.949685   
    465      21.226667    2.633333    0.988889       1           2        0.928404     0.993395   
    466      21.277778    2.613333   14.004444       1           2        0.909067     1.037530   
    467      21.245977    4.200000    7.503448       1           2        0.872792     1.059359   
    468      21.348889    4.231111   20.457778       1           2        0.888481     1.096979   
    469      21.306383    9.136170   25.395745       1           2        0.900173     1.117789   
    470      21.335632    9.137931   12.400000       1           2        0.899773     1.117549   
    471      21.300000   10.717391    5.884783       1           2        0.959082     1.070398   
    472      21.305747   10.731034   18.889655       1           2        0.891529     1.081538   
    473      21.285714   15.630952    0.964286       1           2        0.914863     0.910290   
    474      21.406250   15.593750   13.935417       1           2        0.923807     1.205231   
    475      21.300000   17.204348   20.473913       1           2        0.906719     1.118152   
    476      21.340426   17.236170    7.461702       1           2        0.900023     1.090454   
    477      21.301075   22.150538   12.402151       1           2        0.888831     1.126695   
    478      21.304444   22.160000   25.395556       1           2        0.916912     1.080779   
    479      21.303297   23.738462    5.883516       1           2        0.904770     1.133071   
    480      21.340659   23.742857   18.914286       1           2        0.947140     1.125558   
    481      21.287805    0.200000    9.917073       0           4        0.328921     0.565643   
    482      21.311111    0.233333   22.972222       0           4        0.215300     0.542428   
    483      21.308333    6.708333    3.462500       0           4        0.500402     0.626401   
    484      21.278431    6.678431   16.482353       0           4        0.511993     0.621405   
    485      21.298039   13.098039    9.921569       0           4        0.327622     0.643735   
    486      21.286957   13.165217   22.886957       0           4        0.295095     0.602013   
    487      21.334545   19.723636    3.454545       0           4        0.472571     0.713506   
    488      21.295833   19.787500   16.433333       0           4        0.374639     0.570483   
    489      22.146512    0.967442   11.574419       1           2        0.922058     1.036505   
    490      22.122892    0.956627   24.503614       1           2        0.930552     1.037726   
    491      22.146237    5.860215    5.103226       1           2        0.931102     1.108894   
    492      22.177500    5.867500   18.145000       1           2        0.934749     0.999544   
    493      22.148837    7.465116    1.776744       1           2        0.949939     1.007854   
    494      22.145055    7.472527   14.802198       1           2        0.966027     0.993351   
    495      22.149425   12.395402    8.308046       1           2        0.923157     1.088075   
    496      22.131111   12.400000   21.333333       1           2        0.921159     1.118467   
    497      22.114943   13.965517   24.551724       1           2        0.957483     0.994789   
    498      22.158140   13.983721   11.579070       1           2        0.947041     1.021007   
    499      22.159524   18.854762    5.107143       1           2        0.862150     1.035063   
    500      22.138636   18.888636   18.043182       1           2        0.926105     1.047870   
    501      22.123913   20.454348    1.821739       1           2        0.874891     1.042404   
    502      22.118182   20.431818   14.847727       1           2        0.892878     1.108637   
    503      22.097778   25.406667    8.348889       1           2        0.945991     1.075689   
    504      22.120482   25.402410   21.354217       1           2        0.962929     0.925797   
    505      22.978182   14.832727   13.170909       0           4        0.452685     0.743109   
    506      23.000000    1.811321    0.150943       0           4        0.628912     0.720251   
    507      22.900000    1.795833   13.200000       0           4        0.467475     0.575920   
    508      22.909434    5.030189    6.705660       0           4        0.398373     0.631780   
    509      22.894118    5.027451   19.701961       0           4        0.291247     0.631531   
    510      22.892593    8.333333    0.144444       0           4        0.380685     0.657572   
    511      22.881818    8.386364   13.159091       0           4        0.264216     0.680514   
    512      22.953846   11.553846   19.698462       0           4        0.583444     0.729458   
    513      22.896429   18.032143    6.653571       0           4        0.413512     0.648340   
    514      22.885714   18.008163   19.673469       0           4        0.448188     0.621186   
    515      22.894737   21.301754    0.203509       0           4        0.452935     0.618749   
    516      22.898361   21.318033   13.209836       0           4        0.556013     0.650421   
    517      22.908696   24.560870    6.708696       0           4        0.468124     0.616395   
    518      22.955102   24.551020   19.657143       0           4        0.418109     0.630133   
    519      22.973077   11.565385    6.715385       0           4        0.462578     0.612566   
    520      23.028000   14.828000    0.152000       0           4        0.475669     0.699051   
    521      23.737931    0.928736    1.852874       1           2        0.902821     1.103913   
    522      23.718182    0.943182   14.840909       1           2        0.963579     1.008489   
    523      23.685366    5.875610    8.256098       1           2        0.897075     1.020069   
    524      23.703448    5.885057   21.264368       1           2        0.947340     1.036578   
    525      23.694118    7.496471   11.614118       1           2        0.974022     1.003294   
    526      23.732584    7.453933   24.541573       1           2        0.924206     1.081443   
    527      23.706522   12.378261    5.058696       1           2        0.914563     1.146471   
    528      23.733333   12.418391   17.995402       1           2        0.918460     0.998032   
    529      23.705618   13.961798    1.822472       1           2        0.948140     1.060250   
    530      23.705618   13.973034   14.808989       1           2        0.942644     1.045185   
    531      23.720000   18.912941    8.355294       1           2        0.958033     1.013080   
    532      23.735000   18.910000   21.340000       1           2        0.962480     0.945476   
    533      23.750617   20.434568   11.488889       1           2        0.914913     1.042399   
    534      23.746988   20.443373   24.506024       1           2        0.943793     1.041792   
    535      23.725581   25.376744   18.062791       1           2        0.925755     1.061273   
    536      23.750588   25.425882    4.974118       1           2        0.956584     0.993161   
    537      24.552174    2.617391   12.389130       1           2        0.942843     1.008276   
    538      24.576344    2.627957   25.380645       1           2        0.852806     1.088353   
    539      24.470330    9.105495   13.945055       1           2        0.934200     1.076102   
    540      24.563043   10.719565    7.482609       1           2        0.870394     1.202121   
    541      24.559551   10.734831   20.471910       1           2        0.834869     1.100479   
    542      24.509091   15.615909   12.400000       1           2        0.854205     1.076767   
    543      24.587629   15.641237   25.371134       1           2        0.886832     1.216470   
    544      24.526087   17.219565    5.913043       1           2        0.931302     1.129994   
    545      24.523404   17.229787   18.895745       1           2        0.940895     1.127115   
    546      24.480000   23.760000    7.437778       1           2        0.903471     1.136703   
    547      24.468182   23.770455   20.443182       1           2        0.909367     1.065204   
    548      24.577778    4.186667    5.868889       1           2        0.943943     1.022456   
    549      24.525301    4.236145   18.893976       1           2        0.956584     1.031928   
    550      24.573810    9.176190    0.978571       1           2        0.934349     1.019709   
    551      24.578571   22.180952    0.976190       1           2        0.913914     1.014870   
    552      24.621176   22.185882   14.007059       1           2        0.916212     0.994451   
    553      24.545833    0.245833    3.358333       0           4        0.295994     0.677080   
    554      24.584615    0.220513   16.456410       0           4        0.353304     0.555387   
    555      24.591837    6.673469    9.873469       0           4        0.525634     0.628770   
    556      24.579592    6.726531   22.910204       0           4        0.482514     0.631810   
    557      24.564706   13.125490    3.458824       0           4        0.376288     0.652644   
    558      24.552000   13.112000   16.464000       0           4        0.277107     0.650956   
    559      24.573333   19.706667    9.946667       0           4        0.338414     0.567098   
    560      24.570732   19.678049   22.970732       0           4        0.324524     0.563093   
    561      25.373034    1.775281    4.206742       1           2        0.948490     1.008521   
    562      25.376087    1.760870   17.217391       1           2        0.929803     1.015003   
    563      25.376471    5.068235   10.724706       1           2        0.882735     1.142776   
    564      25.412048    5.009639   23.732530       1           2        0.951138     1.012200   
    565      25.386364    8.302273    9.140909       1           2        0.887182     1.083576   
    566      25.393258    8.325843   22.139326       1           2        0.903721     1.106371   
    567      25.380220   11.538462    2.621978       1           2        0.902921     1.014749   
    568      25.379310   11.588506   15.625287       1           2        0.905370     0.989743   
    569      25.382022   14.793258    4.213483       1           2        0.933200     1.006769   
    570      25.395349   14.795349   17.195349       1           2        0.939696     0.987395   
    571      25.384091   18.029545   10.731818       1           2        0.951388     1.039385   
    572      25.379775   18.049438   23.725843       1           2        0.954086     1.059698   
    573      25.391398   21.275269    9.154839       1           2        0.930602     1.071445   
    574      25.377528   21.247191   22.184270       1           2        0.965028     1.016411   
    575      25.380000   24.540000   15.628889       1           2        0.973972     1.010803   
    576      25.383529   24.567059    2.630588       1           2        0.937297     0.988611   
